,Credit_Limit,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Avg_Utilization_Ratio,Total_Revolving_Bal,edu_College,edu_Doctorate,edu_Graduate,edu_High School,edu_Post-Graduate,edu_Uneducated,marital_Divorced,marital_Married,marital_Single,income_$120K +,income_$40K - $60K,income_$60K - $80K,income_$80K - $120K,income_Less than $40K
0,12691.0,45.0,1.0,3.0,39.0,5.0,1.0,0.061,777.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,8256.0,49.0,0.0,5.0,44.0,6.0,1.0,0.105,864.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,3418.0,51.0,1.0,3.0,36.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,4716.0,40.0,1.0,3.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,4010.0,44.0,1.0,2.0,36.0,3.0,1.0,0.311,1247.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,22352.0,37.0,1.0,3.0,36.0,5.0,2.0,0.113,2517.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,11656.0,48.0,1.0,2.0,36.0,6.0,3.0,0.144,1677.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,11751.0,56.0,1.0,1.0,36.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,2436.0,57.0,0.0,2.0,48.0,5.0,2.0,0.279,680.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16,30367.0,48.0,1.0,4.0,36.0,6.0,2.0,0.078,2362.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,3193.0,61.0,1.0,1.0,56.0,2.0,2.0,0.788,2517.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,20979.0,47.0,1.0,1.0,42.0,5.0,2.0,0.086,1800.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,1438.3,62.0,0.0,0.0,49.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,4470.0,41.0,1.0,3.0,33.0,4.0,2.0,0.152,680.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,7768.0,41.0,0.0,3.0,28.0,6.0,1.0,0.215,1669.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,4785.0,47.0,1.0,4.0,42.0,6.0,0.0,0.285,1362.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,2451.0,53.0,1.0,2.0,48.0,2.0,5.0,0.69,1690.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,8923.0,41.0,1.0,4.0,36.0,4.0,1.0,0.282,2517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
33,2650.0,53.0,0.0,2.0,38.0,5.0,2.0,0.562,1490.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,12555.0,58.0,1.0,0.0,49.0,6.0,2.0,0.135,1696.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35,3520.0,55.0,0.0,1.0,36.0,4.0,2.0,0.544,1914.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36,3035.0,55.0,0.0,3.0,36.0,6.0,2.0,0.757,2298.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
37,15433.0,42.0,0.0,4.0,36.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,32426.0,45.0,1.0,3.0,41.0,2.0,2.0,0.018,578.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
42,17304.0,50.0,0.0,1.0,43.0,3.0,2.0,0.145,2517.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
43,3906.0,49.0,1.0,3.0,37.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
45,34516.0,49.0,1.0,4.0,30.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
46,2283.0,56.0,1.0,2.0,45.0,6.0,2.0,0.626,1430.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
47,2548.0,59.0,1.0,1.0,52.0,3.0,2.0,0.793,2020.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,19458.0,46.0,1.0,3.0,40.0,4.0,3.0,0.074,1435.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,4745.0,52.0,1.0,1.0,40.0,5.0,1.0,0.259,1227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
51,1438.3,54.0,0.0,1.0,40.0,2.0,3.0,0.562,808.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
52,3171.0,66.0,0.0,0.0,54.0,3.0,4.0,0.687,2179.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54,15769.0,56.0,1.0,2.0,36.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
56,2802.0,49.0,0.0,3.0,36.0,2.0,2.0,0.843,2363.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
